"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Mon Aug 18 15:28:27 UTC 2025","Mon Aug 18 15:28:27 UTC 2025","0","Surefire suite","Surefire test","tests.ui.LaunchesTest","tests.ui.LaunchesTest","testDeleteFilter","UI Test",""
"skipped","Mon Aug 18 15:28:27 UTC 2025","Mon Aug 18 15:28:27 UTC 2025","0","Surefire suite","Surefire test","tests.ui.LaunchesTest","tests.ui.LaunchesTest","testEditFilter","UI Test",""
"passed","Mon Aug 18 15:28:17 UTC 2025","Mon Aug 18 15:28:18 UTC 2025","959","Surefire suite","Surefire test","tests.api.CrudTest","tests.api.CrudTest","updateLaunchTest","API Test",""
"passed","Mon Aug 18 15:28:15 UTC 2025","Mon Aug 18 15:28:16 UTC 2025","991","Surefire suite","Surefire test","tests.api.CrudTest","tests.api.CrudTest","getLaunchTest","API Test",""
"passed","Mon Aug 18 15:28:15 UTC 2025","Mon Aug 18 15:28:15 UTC 2025","494","Surefire suite","Surefire test","tests.api.CrudTest","tests.api.CrudTest","deleteNonExistingLaunchTest","API Test",""
"broken","Mon Aug 18 15:28:27 UTC 2025","Mon Aug 18 15:28:27 UTC 2025","1","Surefire suite","Surefire test","tests.ui.LaunchesTest","tests.ui.LaunchesTest","setUp","setUp",""
"skipped","Mon Aug 18 15:28:27 UTC 2025","Mon Aug 18 15:28:27 UTC 2025","1","Surefire suite","Surefire test","tests.ui.LaunchesTest","tests.ui.LaunchesTest","testAddNewFilter","UI Test",""
"passed","Mon Aug 18 15:28:13 UTC 2025","Mon Aug 18 15:28:15 UTC 2025","2013","Surefire suite","Surefire test","tests.api.CrudTest","tests.api.CrudTest","createLaunchTest","API Test",""
"passed","Mon Aug 18 15:28:16 UTC 2025","Mon Aug 18 15:28:17 UTC 2025","463","Surefire suite","Surefire test","tests.api.CrudTest","tests.api.CrudTest","getNonExistingLaunchTest","API Test",""
"skipped","Mon Aug 18 15:28:27 UTC 2025","Mon Aug 18 15:28:27 UTC 2025","0","Surefire suite","Surefire test","tests.ui.LaunchesTest","tests.ui.LaunchesTest","testCloneFilter","UI Test",""
